# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP2_int/dT2 (e^2)    dP2_int/dT2 (e^3)    
2.643185E+01        -1.334870E+01        1.188916E+00        
2.640810E+01        -1.332472E+01        1.186781E+00        
2.638438E+01        -1.330079E+01        1.184649E+00        
2.636068E+01        -1.327690E+01        1.182522E+00        
2.633700E+01        -1.325305E+01        1.180398E+00        
2.631334E+01        -1.322925E+01        1.178279E+00        
2.628970E+01        -1.320549E+01        1.176163E+00        
2.626609E+01        -1.318177E+01        1.174050E+00        
2.624249E+01        -1.315810E+01        1.171942E+00        
2.621892E+01        -1.313446E+01        1.169837E+00        
2.619536E+01        -1.311087E+01        1.167736E+00        
2.617183E+01        -1.308732E+01        1.165639E+00        
2.614832E+01        -1.306382E+01        1.163546E+00        
2.612483E+01        -1.304036E+01        1.161456E+00        
2.610136E+01        -1.301693E+01        1.159371E+00        
2.607792E+01        -1.299355E+01        1.157289E+00        
2.605449E+01        -1.297022E+01        1.155210E+00        
2.603109E+01        -1.294692E+01        1.153136E+00        
2.600770E+01        -1.292367E+01        1.151065E+00        
2.598434E+01        -1.290046E+01        1.148998E+00        
2.596100E+01        -1.287729E+01        1.146934E+00        
2.593768E+01        -1.285416E+01        1.144875E+00        
2.591438E+01        -1.283107E+01        1.142819E+00        
2.589110E+01        -1.280802E+01        1.140766E+00        
2.586784E+01        -1.278502E+01        1.138718E+00        
2.584460E+01        -1.276206E+01        1.136673E+00        
2.582138E+01        -1.273914E+01        1.134631E+00        
2.579819E+01        -1.271626E+01        1.132594E+00        
2.577501E+01        -1.269342E+01        1.130560E+00        
2.575186E+01        -1.267062E+01        1.128529E+00        
2.572873E+01        -1.264786E+01        1.126503E+00        
2.570561E+01        -1.262514E+01        1.124480E+00        
2.568252E+01        -1.260247E+01        1.122460E+00        
2.565945E+01        -1.257983E+01        1.120444E+00        
2.563640E+01        -1.255724E+01        1.118432E+00        
2.561337E+01        -1.253468E+01        1.116424E+00        
2.559036E+01        -1.251217E+01        1.114419E+00        
2.556737E+01        -1.248970E+01        1.112418E+00        
2.554441E+01        -1.246727E+01        1.110420E+00        
2.552146E+01        -1.244487E+01        1.108426E+00        
2.549853E+01        -1.242252E+01        1.106435E+00        
2.547563E+01        -1.240021E+01        1.104448E+00        
2.545274E+01        -1.237794E+01        1.102465E+00        
2.542988E+01        -1.235571E+01        1.100485E+00        
2.540703E+01        -1.233351E+01        1.098508E+00        
2.538421E+01        -1.231136E+01        1.096536E+00        
2.536141E+01        -1.228925E+01        1.094566E+00        
2.533862E+01        -1.226718E+01        1.092601E+00        
2.531586E+01        -1.224514E+01        1.090639E+00        
2.529312E+01        -1.222315E+01        1.088680E+00        
2.527040E+01        -1.220120E+01        1.086725E+00        
2.524770E+01        -1.217928E+01        1.084773E+00        
2.522502E+01        -1.215741E+01        1.082825E+00        
2.520236E+01        -1.213557E+01        1.080881E+00        
2.517972E+01        -1.211377E+01        1.078940E+00        
2.515710E+01        -1.209202E+01        1.077002E+00        
2.513450E+01        -1.207030E+01        1.075068E+00        
2.511192E+01        -1.204862E+01        1.073137E+00        
2.508936E+01        -1.202698E+01        1.071210E+00        
2.506682E+01        -1.200538E+01        1.069286E+00        
2.504431E+01        -1.198381E+01        1.067366E+00        
2.502181E+01        -1.196229E+01        1.065449E+00        
2.499933E+01        -1.194080E+01        1.063536E+00        
2.497687E+01        -1.191936E+01        1.061626E+00        
