# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      
3.267687E+01        -2.221965E+02        1.979202E+01        
3.264752E+01        -2.215982E+02        1.973873E+01        
3.261819E+01        -2.210014E+02        1.968559E+01        
3.258889E+01        -2.204063E+02        1.963258E+01        
3.255961E+01        -2.198127E+02        1.957972E+01        
3.253036E+01        -2.192208E+02        1.952700E+01        
3.250114E+01        -2.186304E+02        1.947442E+01        
3.247195E+01        -2.180417E+02        1.942198E+01        
3.244278E+01        -2.174545E+02        1.936969E+01        
3.241363E+01        -2.168689E+02        1.931753E+01        
3.238451E+01        -2.162849E+02        1.926552E+01        
3.235542E+01        -2.157024E+02        1.921365E+01        
3.232636E+01        -2.151216E+02        1.916191E+01        
3.229732E+01        -2.145423E+02        1.911032E+01        
3.226830E+01        -2.139645E+02        1.905886E+01        
3.223932E+01        -2.133883E+02        1.900754E+01        
3.221036E+01        -2.128137E+02        1.895636E+01        
3.218142E+01        -2.122406E+02        1.890532E+01        
3.215251E+01        -2.116690E+02        1.885442E+01        
3.212363E+01        -2.110990E+02        1.880365E+01        
3.209477E+01        -2.105305E+02        1.875302E+01        
3.206594E+01        -2.099636E+02        1.870253E+01        
3.203713E+01        -2.093981E+02        1.865217E+01        
3.200836E+01        -2.088342E+02        1.860195E+01        
3.197960E+01        -2.082719E+02        1.855186E+01        
3.195087E+01        -2.077110E+02        1.850191E+01        
3.192217E+01        -2.071516E+02        1.845209E+01        
3.189350E+01        -2.065938E+02        1.840241E+01        
3.186485E+01        -2.060374E+02        1.835286E+01        
3.183622E+01        -2.054826E+02        1.830344E+01        
3.180762E+01        -2.049292E+02        1.825416E+01        
3.177905E+01        -2.043774E+02        1.820500E+01        
3.175050E+01        -2.038270E+02        1.815599E+01        
3.172198E+01        -2.032781E+02        1.810710E+01        
3.169348E+01        -2.027306E+02        1.805835E+01        
3.166501E+01        -2.021847E+02        1.800972E+01        
3.163657E+01        -2.016402E+02        1.796123E+01        
3.160815E+01        -2.010972E+02        1.791287E+01        
3.157975E+01        -2.005557E+02        1.786464E+01        
3.155138E+01        -2.000156E+02        1.781653E+01        
3.152304E+01        -1.994769E+02        1.776856E+01        
3.149472E+01        -1.989398E+02        1.772072E+01        
3.146643E+01        -1.984040E+02        1.767300E+01        
3.143816E+01        -1.978697E+02        1.762542E+01        
3.140992E+01        -1.973369E+02        1.757796E+01        
3.138171E+01        -1.968054E+02        1.753063E+01        
3.135352E+01        -1.962754E+02        1.748343E+01        
3.132535E+01        -1.957469E+02        1.743635E+01        
3.129721E+01        -1.952197E+02        1.738940E+01        
3.126910E+01        -1.946940E+02        1.734258E+01        
3.124101E+01        -1.941697E+02        1.729588E+01        
3.121294E+01        -1.936468E+02        1.724931E+01        
3.118490E+01        -1.931253E+02        1.720287E+01        
3.115689E+01        -1.926052E+02        1.715655E+01        
3.112890E+01        -1.920866E+02        1.711035E+01        
3.110094E+01        -1.915693E+02        1.706428E+01        
3.107300E+01        -1.910534E+02        1.701833E+01        
3.104509E+01        -1.905389E+02        1.697251E+01        
3.101720E+01        -1.900258E+02        1.692681E+01        
3.098933E+01        -1.895140E+02        1.688123E+01        
3.096150E+01        -1.890037E+02        1.683578E+01        
3.093368E+01        -1.884947E+02        1.679045E+01        
3.090589E+01        -1.879871E+02        1.674524E+01        
3.087813E+01        -1.874808E+02        1.670015E+01        
3.085039E+01        -1.869759E+02        1.665518E+01        
3.082268E+01        -1.864724E+02        1.661034E+01        
3.079499E+01        -1.859702E+02        1.656561E+01        
3.076733E+01        -1.854694E+02        1.652101E+01        
3.073969E+01        -1.849699E+02        1.647652E+01        
3.071207E+01        -1.844718E+02        1.643216E+01        
3.068448E+01        -1.839750E+02        1.638792E+01        
3.065692E+01        -1.834796E+02        1.634379E+01        
3.062938E+01        -1.829855E+02        1.629978E+01        
3.060187E+01        -1.824927E+02        1.625589E+01        
3.057438E+01        -1.820013E+02        1.621212E+01        
3.054691E+01        -1.815111E+02        1.616847E+01        
3.051947E+01        -1.810223E+02        1.612494E+01        
3.049205E+01        -1.805348E+02        1.608152E+01        
3.046466E+01        -1.800486E+02        1.603822E+01        
3.043730E+01        -1.795638E+02        1.599503E+01        
3.040995E+01        -1.790802E+02        1.595197E+01        
3.038264E+01        -1.785979E+02        1.590901E+01        
3.035534E+01        -1.781170E+02        1.586618E+01        
3.032807E+01        -1.776373E+02        1.582346E+01        
3.030083E+01        -1.771589E+02        1.578085E+01        
3.027361E+01        -1.766818E+02        1.573836E+01        
3.024641E+01        -1.762060E+02        1.569598E+01        
3.021924E+01        -1.757315E+02        1.565372E+01        
3.019210E+01        -1.752583E+02        1.561157E+01        
3.016497E+01        -1.747863E+02        1.556953E+01        
3.013788E+01        -1.743156E+02        1.552761E+01        
3.011080E+01        -1.738462E+02        1.548580E+01        
3.008375E+01        -1.733780E+02        1.544411E+01        
3.005673E+01        -1.729111E+02        1.540252E+01        
3.002973E+01        -1.724454E+02        1.536105E+01        
3.000275E+01        -1.719810E+02        1.531969E+01        
2.997580E+01        -1.715179E+02        1.527844E+01        
2.994887E+01        -1.710560E+02        1.523730E+01        
2.992197E+01        -1.705953E+02        1.519627E+01        
2.989509E+01        -1.701359E+02        1.515535E+01        
2.986824E+01        -1.696777E+02        1.511455E+01        
2.984140E+01        -1.692208E+02        1.507385E+01        
2.981460E+01        -1.687651E+02        1.503326E+01        
2.978781E+01        -1.683106E+02        1.499278E+01        
2.976106E+01        -1.678573E+02        1.495241E+01        
2.973432E+01        -1.674053E+02        1.491215E+01        
2.970761E+01        -1.669544E+02        1.487200E+01        
2.968092E+01        -1.665048E+02        1.483196E+01        
2.965426E+01        -1.660564E+02        1.479202E+01        
2.962762E+01        -1.656092E+02        1.475219E+01        
2.960101E+01        -1.651632E+02        1.471247E+01        
2.957442E+01        -1.647185E+02        1.467286E+01        
2.954785E+01        -1.642749E+02        1.463335E+01        
2.952130E+01        -1.638325E+02        1.459395E+01        
2.949479E+01        -1.633913E+02        1.455465E+01        
2.946829E+01        -1.629512E+02        1.451546E+01        
2.944182E+01        -1.625124E+02        1.447638E+01        
2.941537E+01        -1.620748E+02        1.443740E+01        
