# BBN prediction of the primordial abundances (Helium-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, $N_{eff} = 3.0440$ because of QED effects and incomplete neurino decoupling (see, e.g., arXiv:2001.04466).
#
# Computation performed with PRyMordial, see arXiv:2307.07061. 
# Latest version of the code at the GitHub repo: https://github.com/vallima/PRyMordial
# Details on the ab-initio computation of neutron freeze out implemented in PRyMordial can be found in arXiv:1801.08023.
# Thermonuclear rates adopted comprise the most recent measurement from LUNA and mainly rely on the NACRE II compilation.
#
# Neutron Decay rate $\tau_n$ follows what recommended in the Particle Data Group 2023.
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty).
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons at the end of BBN, and does not include
# any extra production of He4 by stars after BBN. 
#
# Errors are computed with a Monte Carlo approach where both nuclear rates and neutron life time uncertainties are accounted for.
# For more details, see the Jupiter notebook: https://github.com/vallima/PRyMordial/blob/main/PRyMdemoSM.ipynb
# 
#         ombh2                   eta10                     DeltaN                    Yp                      Yp^BBN                  sig(Yp^BBN)              D/H                      sig(D/H)  
1.899999999999999953e-02 5.201219705435637053e+00 -2.500000000000000000e+00 2.018975157623604799e-01 2.030511110003264119e-01 1.354299138863702598e-04 2.169264637911009252e-05 9.023681713124190853e-07
2.000000000000000042e-02 5.474968110984880454e+00 -2.500000000000000000e+00 2.023952992512191018e-01 2.035510133183352777e-01 1.299413389254940694e-04 1.995102774378496027e-05 7.770800300236535245e-07
2.019999999999999921e-02 5.529717792094730022e+00 -2.500000000000000000e+00 2.024809873337763966e-01 2.036370657660081518e-01 1.338377350131740356e-04 1.963374856959932923e-05 7.777547793622495855e-07
2.040000000000000147e-02 5.584467473204578702e+00 -2.500000000000000000e+00 2.025757462947532783e-01 2.037322275555182860e-01 1.302135060402135117e-04 1.927439475008554723e-05 7.220079694661603828e-07
2.060000000000000026e-02 5.639217154314427383e+00 -2.500000000000000000e+00 2.026680957251736637e-01 2.038249694396647160e-01 1.306460296198534948e-04 1.894941129080569126e-05 7.904832542741823614e-07
2.079999999999999905e-02 5.693966835424275175e+00 -2.500000000000000000e+00 2.027807112210616158e-01 2.039380633534014498e-01 1.278265627672392686e-04 1.861399851946648839e-05 7.687690650875251495e-07
2.100000000000000130e-02 5.748716516534125631e+00 -2.500000000000000000e+00 2.028687631671229896e-01 2.040264892280632125e-01 1.312140312924268688e-04 1.826695716376548772e-05 7.466012234775431644e-07
2.120000000000000009e-02 5.803466197643973423e+00 -2.500000000000000000e+00 2.029617411008172168e-01 2.041198618873673321e-01 1.352597787925270093e-04 1.801354378797304361e-05 6.981155728295297378e-07
2.139999999999999888e-02 5.858215878753822103e+00 -2.500000000000000000e+00 2.030432729187527374e-01 2.042017397276547630e-01 1.426898545398358541e-04 1.776413548837430881e-05 7.407211273839666425e-07
2.160000000000000114e-02 5.912965559863671672e+00 -2.500000000000000000e+00 2.031294435228645778e-01 2.042882759721101060e-01 1.328946093368479789e-04 1.746639868737560254e-05 6.959465576765952929e-07
